	Chromosome	Start	Strand	Gene	Transcript_type
123	chr3R	25097672	1	CG33095	protein_coding
126	chr2R	10137656	1	CG12917	protein_coding
127	chr3R	12642482	-1	CG6753	protein_coding
128	chr3L	3268461	1	CG34265	protein_coding
131	chr2L	5728811	-1	CG14006	protein_coding
134	chrX	18321193	-1	CG6023	protein_coding
135	chrX	18315901	-1	CG6023	protein_coding
136	chr2L	12138008	1	Gr33a	protein_coding
137	chrX	20933559	-1	CG11227	protein_coding
138	chr3R	15131926	-1	CG42788	protein_coding
139	chr2R	16149795	-1	CG10731	protein_coding
140	chr2R	16149639	-1	CG10731	protein_coding
142	chr3R	5669713	1	Atg17	protein_coding
146	chr2L	21510018	1	His3:CG33848	protein_coding
147	chr2L	21179933	1	Mcm10	protein_coding
150	chr3L	4697601	1	CG13713	protein_coding
151	chr3R	27872390	-1	CG12426	protein_coding
152	chr3L	4071717	-1	wit	protein_coding
156	chr2R	25250316	-1	CG33680	protein_coding
157	chrX	18116825	-1	wupA	protein_coding
158	chrX	18116922	-1	wupA	protein_coding
159	chrX	18114734	-1	wupA	protein_coding
162	chr2R	22845977	1	CG3649	protein_coding
163	chr3R	29997676	-1	CG15525	protein_coding
165	chr3R	14326947	1	ATPsynE	protein_coding
166	chr3R	14327068	1	ATPsynE	protein_coding
167	chrX	3236686	-1	CG14265	protein_coding
170	chr3R	15508886	-1	CG44014	protein_coding
174	chrX	2920119	1	CG3588	protein_coding
175	chrX	2919770	1	CG3588	protein_coding
178	chr3R	17609359	1	CG14329	protein_coding
181	chr2L	4955144	-1	Jon25Bi	protein_coding
184	chr3L	4209178	-1	Cpr64Aa	protein_coding
185	chr2R	18625044	-1	Atg7	protein_coding
188	chr3L	20103827	-1	CG14186	protein_coding
189	chr2R	23556672	1	ItgaPS5	protein_coding
193	chr2R	19703915	-1	Obp56d	protein_coding
194	chr2R	19703799	-1	Obp56d	protein_coding
195	chr2L	14617511	1	Adhr	protein_coding
196	chr2L	14616267	1	Adhr	protein_coding
197	chr2L	14615552	1	Adhr	protein_coding
199	chr3R	7739563	-1	CG43254	protein_coding
200	chr3R	4229238	-1	DhpD	protein_coding
202	chr2R	21860825	1	CG9294	protein_coding
204	chr2R	13794777	1	Cpr50Cb	protein_coding
207	chr2L	271744	-1	CG3645	protein_coding
208	chr2L	254750	-1	CG3645	protein_coding
210	chr3L	22075756	-1	CG7130	protein_coding
211	chr2L	2812437	1	CG2964	protein_coding
213	chr3L	12042387	1	CG6793	protein_coding
215	chr2L	19045148	-1	Ttc19	protein_coding
216	chr2R	7540111	1	Corin	protein_coding
217	chr2R	7545153	1	Corin	protein_coding
223	chr2L	9330763	1	Cks30A	protein_coding
226	chr3R	20616901	-1	CG15923	protein_coding
228	chrX	11732770	-1	inaF-B	protein_coding
229	chr2R	11244247	1	CG13226	protein_coding
230	chr2L	6489090	1	epsilonCOP	protein_coding
233	chrX	15139367	-1	RpL37a	protein_coding
234	chrX	3868331	-1	yin	protein_coding
235	chrX	3871939	-1	yin	protein_coding
236	chrX	3866717	-1	yin	protein_coding
238	chr3L	23726829	1	CG40298	protein_coding
240	chr2L	15762408	-1	Gli	protein_coding
241	chr2L	15762758	-1	Gli	protein_coding
244	chr3R	14918628	1	Sdr	protein_coding
245	chr2L	1134693	1	CG4577	protein_coding
246	chr2R	12240399	1	CG13170	protein_coding
248	chr3L	8981795	1	CG13314	protein_coding
249	chr3L	8982424	1	CG13314	protein_coding
251	chr3R	8768191	-1	CG11768	protein_coding
252	chr3R	8768200	-1	CG11768	protein_coding
256	chr3L	18872553	-1	Rad9	protein_coding
258	chrX	11340084	-1	Kap3	protein_coding
259	chrX	11339588	-1	Kap3	protein_coding
260	chrX	11338824	-1	Kap3	protein_coding
263	chr3L	13929387	1	DCTN1-p150	protein_coding
264	chrX	15737120	-1	Arp6	protein_coding
265	chr3R	22531922	-1	CG33093	protein_coding
267	chr2L	9954325	1	CG4709	protein_coding
268	chr2L	9954454	1	CG4709	protein_coding
269	chr3L	12044579	1	CG43638	protein_coding
270	chr3L	5873532	1	CG18586	protein_coding
271	chr3L	5873311	1	CG18586	protein_coding
274	chr2R	7068572	1	CG12836	protein_coding
275	chrX	8464438	-1	Sptr	protein_coding
276	chrX	15982944	-1	CG9170	protein_coding
277	chr3L	21539862	1	VhaM9.7-b	protein_coding
280	chrX	15244913	-1	PPYR1	protein_coding
281	chr3R	27112566	1	CG5815	protein_coding
282	chr2R	6157129	-1	EcR	protein_coding
283	chr2R	6131922	-1	EcR	protein_coding
284	chr2R	6131841	-1	EcR	protein_coding
285	chr2R	6169087	-1	EcR	protein_coding
286	chr2L	18782600	-1	ham	protein_coding
287	chr2L	18792906	-1	ham	protein_coding
288	chr2L	18771758	-1	ham	protein_coding
289	chr2L	18787500	-1	ham	protein_coding
290	chr2R	7158241	-1	nec	protein_coding
291	chr3R	11999278	1	Ect3	protein_coding
292	chr3R	11674221	1	CG14715	protein_coding
293	chr2L	16682503	1	CG33552	protein_coding
294	chr3R	19491115	-1	CG15025	protein_coding
295	chr3L	17494880	1	edin	protein_coding
299	chr2R	22220905	-1	Oatp58Da	protein_coding
300	chr3R	16349404	1	Manf	protein_coding
301	chr2L	203779	1	mRpL10	protein_coding
303	chr2L	15962435	-1	beat-Ib	protein_coding
304	chr2R	19593790	1	TTLL6A	protein_coding
305	chr2L	11517081	-1	Dlg5	protein_coding
306	chr2L	6957008	1	CG3430	protein_coding
307	chr3L	11793514	1	CG10907	protein_coding
308	chr3L	21569252	1	SMC5	protein_coding
309	chr3L	21569176	1	SMC5	protein_coding
312	chr3L	17835174	-1	CG32189	protein_coding
313	chrX	12377755	-1	Ir11a	protein_coding
315	chr3L	4667389	-1	CG32236	protein_coding
316	chr3L	14550975	-1	Gbs-70E	protein_coding
317	chr2R	21501732	-1	TAF1C-like	protein_coding
320	chr2L	8772344	-1	LManIV	protein_coding
322	chr3R	8562593	-1	mRpS18A	protein_coding
324	chr3L	22504423	-1	CG43330	protein_coding
325	chr2L	22019208	1	tio	protein_coding
326	chr2L	22019322	1	tio	protein_coding
328	chr2R	18796678	-1	MFS15	protein_coding
329	chr2L	8374461	1	Wdr82	protein_coding
330	chr2L	17087641	1	CG12620	protein_coding
331	chrX	16734947	1	TwdlY	protein_coding
333	chr3R	20169435	1	CG5023	protein_coding
335	chr2R	21009576	-1	CG30291	protein_coding
336	chrX	647304	1	Roc1a	protein_coding
338	chr3R	10161331	-1	CG6254	protein_coding
339	chr3R	24817464	1	Saf-B	protein_coding
341	chr2R	22332072	-1	T3dh	protein_coding
342	chr2L	5051062	-1	CG9121	protein_coding
343	chr2L	5050975	-1	CG9121	protein_coding
344	chr2L	5050080	-1	CG9121	protein_coding
346	chrX	10905767	1	CG43901	protein_coding
347	chr2L	11130737	1	CG4751	protein_coding
348	chr2L	22108964	1	CG6675	protein_coding
350	chr2R	14889010	-1	Cyp6a8	protein_coding
351	chrX	3719635	-1	Rala	protein_coding
352	chr2L	2289416	-1	CG17237	protein_coding
353	chr2L	6038117	1	CG31643	protein_coding
354	chr3L	546059	1	Hipk	protein_coding
355	chr3L	543060	1	Hipk	protein_coding
356	chr3L	569326	1	Hipk	protein_coding
358	chrX	18101970	1	Taf8	protein_coding
360	chr3R	19861610	1	CG11447	protein_coding
363	chr2R	24493948	-1	CG13590	protein_coding
370	chr2R	23140577	-1	CG13544	protein_coding
371	chr3L	6234056	-1	CG42714	protein_coding
373	chrX	19915281	-1	CG45487	protein_coding
374	chr3L	6275787	1	CG43168	protein_coding
375	chr3L	9477038	1	Jarid2	protein_coding
378	chr3R	6078283	-1	Or83c	protein_coding
380	chr2R	12185667	1	Cyp6g1	protein_coding
383	chr2L	8399021	1	CG13386	protein_coding
384	chr2R	15216207	1	CG11808	protein_coding
385	chrX	2274778	-1	CG2918	protein_coding
386	chrX	2275068	-1	CG2918	protein_coding
390	chr3L	9703595	-1	CG6761	protein_coding
391	chr3L	9703470	-1	CG6761	protein_coding
397	chr2R	13840053	1	CG6357	protein_coding
399	chr3R	25215188	-1	CG13663	protein_coding
402	chr2L	19526686	1	CG10137	protein_coding
405	chr2L	8984872	-1	CG13101	protein_coding
407	chr3R	8087359	1	CG7910	protein_coding
408	chr3R	8087252	1	CG7910	protein_coding
410	chr3R	22424929	-1	pinta	protein_coding
411	chr3R	22424725	-1	pinta	protein_coding
412	chr2L	2759677	-1	HemK2	protein_coding
414	chr3L	12136967	1	Atg12	protein_coding
416	chr2L	11877237	-1	Pde1c	protein_coding
417	chr2L	11821625	-1	Pde1c	protein_coding
418	chr2L	11896778	-1	Pde1c	protein_coding
419	chr2L	11874459	-1	Pde1c	protein_coding
420	chr2L	11928572	-1	Pde1c	protein_coding
421	chr3R	9412293	-1	Task7	protein_coding
422	chr2R	11249594	1	CG43112	protein_coding
423	chr2R	22798289	-1	CG42260	protein_coding
424	chr2R	20646360	1	Lrt	protein_coding
425	chr2R	7539696	-1	CG1598	protein_coding
426	chr2R	10821676	1	RpS15Ab	protein_coding
431	chr3L	12206022	-1	Tsen54	protein_coding
435	chrX	2072413	1	Rtca	protein_coding
436	chr3L	6613672	1	axed	protein_coding
437	chr3L	6609577	1	axed	protein_coding
438	chr3L	6613564	1	axed	protein_coding
439	chr3L	6609325	1	axed	protein_coding
440	chr2R	8578491	-1	CG42326	protein_coding
441	chr2R	8584779	-1	CG42326	protein_coding
442	chr2L	21142347	-1	Dap160	protein_coding
443	chr3L	257954	-1	DIP2	protein_coding
444	chr2R	24229795	-1	CG30419	protein_coding
446	chr3L	12972359	-1	CG10748	protein_coding
447	chrX	7734438	-1	Pdp	protein_coding
448	chrX	7734651	-1	Pdp	protein_coding
449	chr2L	3721336	1	Shaw	protein_coding
450	chr2L	3718185	1	Shaw	protein_coding
451	chr4	626031	-1	mav	protein_coding
452	chr3L	233351	-1	CG34453	protein_coding
453	chr3L	8557964	1	rhea	protein_coding
454	chr3L	8545001	1	rhea	protein_coding
455	chr3L	8560168	1	rhea	protein_coding
456	chr3L	8546675	1	rhea	protein_coding
459	chr2R	1649616	1	CG41520	protein_coding
460	chr2R	1649061	1	CG41520	protein_coding
461	chrX	8165708	-1	Or7a	protein_coding
464	chrY	3022289	1	FDY	protein_coding
465	chr3R	20304977	-1	CG4367	protein_coding
466	chr2R	16225326	-1	CG15706	protein_coding
467	chr2R	16230680	-1	CG15706	protein_coding
468	chr2R	16230402	-1	CG15706	protein_coding
469	chr2R	16226252	-1	CG15706	protein_coding
474	chr3L	14049892	-1	Neurl4	protein_coding
475	chr2R	23950647	1	fzr2	protein_coding
477	chr3L	8905200	-1	TrpA1	protein_coding
478	chr3L	8902023	-1	TrpA1	protein_coding
479	chr3L	11522713	-1	CG11714	protein_coding
481	chrX	10158434	1	CG43902	protein_coding
482	chrX	15785583	-1	Paf-AHalpha	protein_coding
483	chr3L	7312896	-1	unc-13-4A	protein_coding
486	chr3L	20436209	-1	mRpL15	protein_coding
487	chr3R	12456573	1	trus	protein_coding
488	chr2L	9436804	1	RpS28-like	protein_coding
489	chr2L	2999286	1	Ccdc85	protein_coding
490	chr2R	16998594	-1	ste24c	protein_coding
491	chr3L	54751	-1	CG43149	protein_coding
495	chr2R	22985334	-1	CG32833	protein_coding
496	chr2R	14877786	1	Cyp6a19	protein_coding
497	chr2R	6719533	-1	Zip42C.2	protein_coding
498	chr2R	21872030	1	Fili	protein_coding
499	chr2R	21883312	1	Fili	protein_coding
500	chr2R	6221040	1	bin3	protein_coding
501	chr2R	6214568	1	bin3	protein_coding
502	chr2R	6229516	1	bin3	protein_coding
505	chr3L	11648756	1	CG7339	protein_coding
507	chr3L	16927434	-1	CG13023	protein_coding
510	chr2L	10506779	-1	Myo31DF	protein_coding
513	chr3L	18139402	1	geko	protein_coding
515	chr2R	18615988	1	CG5327	protein_coding
516	chr3L	21441363	-1	CG5664	protein_coding
517	chr3L	4365434	1	CG33514	protein_coding
518	chr3R	18983650	-1	snRNP-U1-C	protein_coding
519	chr3L	22717728	1	CG32452	protein_coding
520	chr2L	1880672	-1	CG31663	protein_coding
521	chr2L	1881480	-1	CG31663	protein_coding
522	chr3R	26425105	-1	CG6503	protein_coding
523	chr3R	26425102	-1	CG6503	protein_coding
525	chr3R	9555785	1	CG8199	protein_coding
526	chrX	17830828	1	CG6398	protein_coding
529	chr3R	25216297	1	CG31106	protein_coding
533	chr2R	22071286	-1	CG11475	protein_coding
534	chr2R	20618629	1	CG9945	protein_coding
535	chr2R	20618503	1	CG9945	protein_coding
536	chr2R	7409385	-1	CG1701	protein_coding
537	chr3R	23948424	-1	CG12268	protein_coding
538	chr3R	23948383	-1	CG12268	protein_coding
539	chr3L	16171380	-1	CG33795	protein_coding
540	chrX	4413462	1	bi	protein_coding
541	chrX	4427135	1	bi	protein_coding
542	chrX	4412856	1	bi	protein_coding
544	chr2L	9540523	1	CG17855	protein_coding
548	chr2R	21179119	1	Pu	protein_coding
549	chr2R	21179118	1	Pu	protein_coding
550	chr2R	21175315	1	Pu	protein_coding
553	chrX	2242138	1	fs(1)K10	protein_coding
555	chr2L	576896	-1	Ptth	protein_coding
556	chr2L	576550	-1	Ptth	protein_coding
557	chr3L	1831783	-1	Cpr62Ba	protein_coding
558	chr3L	1828942	-1	Cpr62Ba	protein_coding
559	chrX	16083232	1	CG8958	protein_coding
561	chrX	14882586	-1	CG45065	protein_coding
562	chr2L	7021682	1	Pcp	protein_coding
564	chr3L	433906	-1	CG13891	protein_coding
565	chr2R	7709873	1	CG1941	protein_coding
566	chr2R	7710453	1	CG1941	protein_coding
570	chr2L	1026897	-1	CG4375	protein_coding
571	chr2R	9207124	-1	CG8027	protein_coding
577	chr2R	22918790	-1	CG30187	protein_coding
579	chrX	19475063	1	narya	protein_coding
581	chr3R	10045542	-1	CG11722	protein_coding
582	chr2L	21486496	1	His1:CG33834	protein_coding
583	chr3R	24630075	-1	Wsck	protein_coding
584	chrX	4650050	1	Cbp80	protein_coding
585	chrX	4650015	1	Cbp80	protein_coding
587	chr2R	18710865	-1	Vps51	protein_coding
589	chr3R	13813109	1	tal-AA	protein_coding
590	chr2L	21526459	1	His1:CG33858	protein_coding
596	chrX	5966463	1	Grip	protein_coding
597	chrX	5966279	1	Grip	protein_coding
598	chr3L	19387580	1	ms(3)76Ba	protein_coding
599	chr3L	3335788	-1	Drsl1	protein_coding
600	chrX	9319223	-1	c12.1	protein_coding
602	chr3L	15535395	1	CrebA	protein_coding
604	chr3L	11715285	-1	CG14132	protein_coding
605	chr2L	13849400	1	CG7968	protein_coding
606	chr3L	1731107	-1	drpr	protein_coding
607	chr2R	8465158	1	Mal-A6	protein_coding
608	chrX	6283575	-1	CG11700	protein_coding
609	chr3R	22609485	1	CG13843	protein_coding
610	chrX	2608876	-1	Smyd3	protein_coding
612	chr2L	2079919	1	CG12674	protein_coding
613	chr3L	21121653	1	CG43938	protein_coding
614	chr2L	19455678	1	CG10026	protein_coding
615	chr2L	19454865	1	CG10026	protein_coding
616	chr2L	19454256	1	CG10026	protein_coding
617	chr2R	9589050	1	CG1827	protein_coding
621	chr2L	21291974	1	Gr39a	protein_coding
622	chr2L	21294553	1	Gr39a	protein_coding
623	chr2L	21290734	1	Gr39a	protein_coding
624	chr2L	21296314	1	Gr39a	protein_coding
625	chr2R	16398923	1	Sema2b	protein_coding
626	chr2R	16386524	1	Sema2b	protein_coding
629	chr3R	25281661	1	CG11892	protein_coding
630	chr3R	25281548	1	CG11892	protein_coding
632	chr2L	310200	1	Plc21C	protein_coding
633	chr2L	305935	1	Plc21C	protein_coding
634	chr3R	23157862	-1	unk	protein_coding
637	chr2R	10875748	1	nclb	protein_coding
638	chrX	14242822	-1	mRNA-cap	protein_coding
640	chr2R	14411572	-1	CG17385	protein_coding
642	chr3L	4138996	-1	Rop	protein_coding
645	chr3R	20648716	-1	GluRIIE	protein_coding
646	chr3R	21107972	-1	Sec15	protein_coding
649	chr2R	24031427	-1	CG30172	protein_coding
650	chr2R	24031202	-1	CG30172	protein_coding
651	chr3L	19264404	1	CG9666	protein_coding
652	chr3L	19263766	1	CG9666	protein_coding
654	chr2R	4014111	1	Haspin	protein_coding
655	chr3R	22745620	1	HP1c	protein_coding
658	chr3L	7450853	1	CG33278	protein_coding
659	chr2L	10976363	-1	ATPsynG	protein_coding
660	chr2L	10976399	-1	ATPsynG	protein_coding
663	chr3L	6132109	-1	Cpr65Au	protein_coding
665	chr3R	24230035	-1	Spase22-23	protein_coding
669	chr2R	10645427	-1	Git	protein_coding
671	chr3L	8127818	-1	Uba2	protein_coding
672	chr3L	19045449	-1	nkd	protein_coding
676	chr3L	1883041	-1	CG13937	protein_coding
677	chr3L	1882559	-1	CG13937	protein_coding
679	chr3R	11679690	-1	Taf12	protein_coding
682	chr3L	8304059	-1	CG7194	protein_coding
683	chrX	4322231	-1	mRpL33	protein_coding
685	chr3L	11927693	1	byn	protein_coding
686	chr4	150764	1	CG32006	protein_coding
687	chr3L	16957689	-1	Cpr73D	protein_coding
688	chr3L	16942949	-1	Cpr73D	protein_coding
690	chr2R	18048108	1	CG34005	protein_coding
693	chr3R	9767834	1	Naa80	protein_coding
694	chr3R	9775121	1	topi	protein_coding
695	chr3R	27106184	-1	CAH9	protein_coding
697	chr2L	2037265	-1	lectin-22C	protein_coding
698	chrX	16897187	-1	CG33252	protein_coding
699	chr2R	8267295	-1	CG30375	protein_coding
700	chr3R	24807621	1	CG6980	protein_coding
701	chr3R	23363574	-1	CG4408	protein_coding
702	chr3R	23363568	-1	CG4408	protein_coding
703	chr2L	16727826	-1	VhaSFD	protein_coding
705	chr3R	11128328	-1	Ugt35C1	protein_coding
706	chr2R	23898561	1	Lpt	protein_coding
707	chr3R	11240991	-1	scpr-B	protein_coding
708	chr3R	26056630	1	CG14543	protein_coding
710	chr2L	7223081	-1	mEFG1	protein_coding
711	chrX	4530231	1	CG3556	protein_coding
713	chr2R	10066650	1	mRpL42	protein_coding
714	chr2R	10066783	1	mRpL42	protein_coding
716	chr3R	15481906	1	B9d1	protein_coding
717	chr3R	23955499	-1	GluProRS	protein_coding
718	chr3R	23958391	-1	GluProRS	protein_coding
719	chr2R	23100478	-1	RpL37b	protein_coding
724	chr3R	10872381	-1	Fdh	protein_coding
725	chr2R	18686775	-1	CG44433	protein_coding
726	chrX	11868893	-1	Nrd1	protein_coding
729	chrX	13755406	-1	Pdcd4	protein_coding
730	chr2R	8131431	1	Pabp2	protein_coding
731	chrX	10891250	-1	Ork1	protein_coding
732	chrX	10890820	-1	Ork1	protein_coding
733	chr3R	11581576	1	wkd	protein_coding
734	chr3R	11582927	1	wkd	protein_coding
739	chr3R	24273029	1	Orct2	protein_coding
740	chr3R	15837117	-1	ND-23	protein_coding
741	chr3L	3106958	-1	Cht7	protein_coding
743	chr2L	14774981	-1	CG4650	protein_coding
744	chr3L	4141467	1	Akh	protein_coding
747	chr3L	11093193	-1	JIL-1	protein_coding
748	chr3L	11091856	-1	JIL-1	protein_coding
749	chr3R	25209117	1	CG13654	protein_coding
750	chr3R	25199818	1	CG13654	protein_coding
751	chr3R	25209450	1	CG13654	protein_coding
754	chr3R	16203371	1	CG31287	protein_coding
756	chr3L	20358512	1	CG5665	protein_coding
757	chrX	7734923	1	Rab39	protein_coding
758	chrX	14786237	-1	Ag5r	protein_coding
759	chrX	14786551	-1	Ag5r	protein_coding
760	chrX	20141010	1	CG34332	protein_coding
761	chrX	8606304	-1	Caf1-180	protein_coding
764	chr2L	12172586	-1	CG6583	protein_coding
765	chr3R	18188707	-1	CG12321	protein_coding
766	chr3L	4381629	-1	CG32240	protein_coding
767	chr3L	21027434	-1	skd	protein_coding
768	chr3L	21026204	-1	skd	protein_coding
769	chr3R	9591929	1	CG8312	protein_coding
770	chr3R	9622944	1	CG8312	protein_coding
771	chr3R	9591309	1	CG8312	protein_coding
772	chr2R	21347883	-1	CG9822	protein_coding
774	chr3R	12395980	-1	CG10097	protein_coding
775	chr3L	10696877	-1	NijA	protein_coding
777	chr3R	7265703	-1	Gld	protein_coding
778	chr3R	15486050	1	obe	protein_coding
779	chrX	17768569	1	unc-4	protein_coding
781	chr2L	563347	-1	CG11835	protein_coding
782	chr2L	563819	-1	CG11835	protein_coding
783	chr2L	9151199	1	CG32982	protein_coding
784	chr2L	9125737	1	CG32982	protein_coding
785	chr3R	9331885	-1	CG16749	protein_coding
787	chrX	530501	1	Appl	protein_coding
788	chrX	531170	1	Appl	protein_coding
789	chr2R	24410550	-1	SerT	protein_coding
790	chr2R	24411074	-1	SerT	protein_coding
793	chr2R	16098948	1	mRpL34	protein_coding
794	chr3L	6913964	-1	Prat2	protein_coding
795	chr3L	6914876	-1	Prat2	protein_coding
796	chr3L	13016050	1	CG11267	protein_coding
798	chr3R	19942412	-1	CG46042	protein_coding
801	chrX	3799150	1	HIP	protein_coding
803	chr3R	26863130	-1	Lerp	protein_coding
804	chr3R	26862813	-1	Lerp	protein_coding
805	chr3R	12467776	-1	Hsp70Ba	protein_coding
808	chr2R	18684198	-1	CG44435	protein_coding
809	chr2R	18681170	-1	CG44435	protein_coding
810	chr3R	9586942	1	P58IPK	protein_coding
811	chr2L	11071027	1	CG14915	protein_coding
813	chr2L	825861	-1	CG3862	protein_coding
814	chr2L	19913516	-1	Victoria	protein_coding
815	chr2L	6950207	-1	Gas41	protein_coding
817	chr2R	17670082	1	CG30109	protein_coding
818	chr3R	27487927	1	Gr98a	protein_coding
822	chr2R	16202884	-1	Shark	protein_coding
823	chr3R	15476193	-1	AdamTS-A	protein_coding
824	chr3R	15461081	-1	AdamTS-A	protein_coding
825	chr3R	15463509	-1	AdamTS-A	protein_coding
826	chr3L	9733807	-1	CG6749	protein_coding
829	chr2R	21669916	-1	PIG-M	protein_coding
830	chr3L	9074643	1	teq	protein_coding
831	chr3R	17265278	1	CG44257	protein_coding
832	chr2R	10874771	-1	CG30015	protein_coding
833	chr2R	10844027	-1	CG30015	protein_coding
834	chr2R	10861381	-1	CG30015	protein_coding
835	chr2R	10854150	-1	CG30015	protein_coding
836	chr3R	4852813	1	opa	protein_coding
837	chrX	4131211	1	GlcAT-I	protein_coding
839	chr3L	21304467	-1	CG11309	protein_coding
840	chr3L	21304045	-1	CG11309	protein_coding
841	chr3L	21304658	-1	CG11309	protein_coding
842	chr2L	11794086	-1	CG14937	protein_coding
844	chr2L	10858536	1	Stam	protein_coding
846	chr2L	3023226	1	CG3542	protein_coding
847	chr2L	16738850	1	ChLD3	protein_coding
848	chr2R	24133989	1	Zfrp8	protein_coding
849	chr3L	15808322	1	CG6244	protein_coding
850	chrX	1012035	1	CG14631	protein_coding
855	chr3L	11624381	-1	Akr1B	protein_coding
856	chr3L	11623715	-1	Akr1B	protein_coding
858	chrX	2186855	1	CG17777	protein_coding
862	chr2L	8320328	1	strat	protein_coding
864	chr2L	16754336	1	yellow-b	protein_coding
868	chr2R	21791580	-1	Loxl2	protein_coding
869	chrX	1940307	1	CG3587	protein_coding
870	chr2L	11081399	-1	AstC	protein_coding
871	chr2R	14373108	1	Obp50d	protein_coding
873	chrX	21028361	-1	CG1532	protein_coding
874	chr3L	16261605	-1	CG34247	protein_coding
876	chr3R	29151794	-1	eIF2D	protein_coding
877	chr3L	21523186	1	CG7611	protein_coding
878	chr2L	8124329	1	CG8673	protein_coding
880	chr2L	18859248	-1	CG10602	protein_coding
881	chr2L	18857679	-1	CG10602	protein_coding
882	chr3R	27921089	-1	CG12259	protein_coding
885	chr2R	10266856	1	CG12910	protein_coding
886	chr2R	10266071	1	CG12910	protein_coding
887	chr2R	10265057	1	CG12910	protein_coding
888	chr3L	21427790	1	CG33288	protein_coding
890	chr3L	8328583	1	CG34462	protein_coding
892	chr3R	30171207	-1	CG31028	protein_coding
894	chr2R	11989131	1	CG8298	protein_coding
895	chr2R	7153642	-1	Spn43Ab	protein_coding
897	chr3R	8001309	-1	Kmn2	protein_coding
898	chr3L	9695441	-1	Prps	protein_coding
899	chr3L	9694457	-1	Prps	protein_coding
900	chr3L	9696700	-1	Prps	protein_coding
902	chr3L	12533724	-1	Tsf2	protein_coding
903	chr3R	6301804	1	Osi15	protein_coding
905	chrX	15472164	1	Alg14	protein_coding
