	Chromosome	Start	Strand	Gene	Transcript_type
11241	chr22	36860988	1	NCF4	protein_coding
11242	chr22	36861006	1	NCF4	protein_coding
11243	chr22	36862303	1	NCF4	protein_coding
11245	chr22	36863091	1	NCF4	protein_coding
11252	chrY	6910686	1	TBL1Y	protein_coding
11253	chrY	6910697	1	TBL1Y	protein_coding
11254	chrY	7086381	1	TBL1Y	protein_coding
11257	chr20	833715	1	FAM110A	protein_coding
11258	chr20	833777	1	FAM110A	protein_coding
11259	chr20	833784	1	FAM110A	protein_coding
11260	chr20	836068	1	FAM110A	protein_coding
11261	chr20	845124	1	FAM110A	protein_coding
11262	chr20	841275	1	FAM110A	protein_coding
11267	chr20	20368104	1	INSM1	protein_coding
11271	chr20	189711	-1	DEFB128	protein_coding
11312	chr20	142590	1	DEFB126	protein_coding
11316	chr20	11890723	1	BTBD3	protein_coding
11317	chr20	11890817	1	BTBD3	protein_coding
11318	chr20	11890828	1	BTBD3	protein_coding
11320	chr20	11891327	1	BTBD3	protein_coding
11321	chr20	11892493	1	BTBD3	protein_coding
11322	chr20	11918810	1	BTBD3	protein_coding
11323	chr20	11918851	1	BTBD3	protein_coding
11327	chr20	11917893	1	BTBD3	protein_coding
11328	chr20	11917865	1	BTBD3	protein_coding
11334	chrY	23219447	1	DAZ2	protein_coding
11335	chrY	23219533	1	DAZ2	protein_coding
11336	chrY	23219548	1	DAZ2	protein_coding
11370	chr18	5197503	-1	AKAIN1	protein_coding
11371	chr18	5197257	-1	AKAIN1	protein_coding
11383	chr18	45212995	1	SLC14A2	protein_coding
11384	chr18	45615476	1	SLC14A2	protein_coding
11409	chr22	31496275	1	SFI1	protein_coding
11410	chr22	31496387	1	SFI1	protein_coding
11413	chr22	31496538	1	SFI1	protein_coding
11414	chr22	31496558	1	SFI1	protein_coding
11415	chr22	31496536	1	SFI1	protein_coding
11418	chr22	31528745	1	SFI1	protein_coding
11425	chr22	31580272	1	SFI1	protein_coding
11426	chr22	31583906	1	SFI1	protein_coding
11436	chr22	31496139	1	SFI1	protein_coding
11462	chr18	9475009	1	RALBP1	protein_coding
11463	chr18	9475454	1	RALBP1	protein_coding
11464	chr18	9475670	1	RALBP1	protein_coding
11465	chr18	9475513	1	RALBP1	protein_coding
11466	chr18	9476127	1	RALBP1	protein_coding
11467	chr18	9476135	1	RALBP1	protein_coding
11468	chr20	21397526	-1	NKX2-4	protein_coding
11472	chr20	5112790	-1	TMEM230	protein_coding
11473	chr20	5113087	-1	TMEM230	protein_coding
11474	chr20	5112904	-1	TMEM230	protein_coding
11476	chr20	5113042	-1	TMEM230	protein_coding
11477	chr20	5113049	-1	TMEM230	protein_coding
11478	chr20	5113050	-1	TMEM230	protein_coding
11479	chr20	5113076	-1	TMEM230	protein_coding
11480	chr20	5113103	-1	TMEM230	protein_coding
11481	chr20	5112753	-1	TMEM230	protein_coding
11560	chr18	26090613	-1	SS18	protein_coding
11561	chr18	26091217	-1	SS18	protein_coding
11564	chr18	26090901	-1	SS18	protein_coding
11571	chr18	26091192	-1	SS18	protein_coding
11573	chr18	26090096	-1	SS18	protein_coding
11575	chr18	26090135	-1	SS18	protein_coding
11618	chrY	6246223	1	TSPY2	protein_coding
11619	chrY	6246269	1	TSPY2	protein_coding
11652	chr20	17226107	1	PCSK2	protein_coding
11653	chr20	17227040	1	PCSK2	protein_coding
11654	chr20	17227056	1	PCSK2	protein_coding
11677	chrY	9357797	1	TSPY8	protein_coding
11678	chrY	9357843	1	TSPY8	protein_coding
11741	chrY	9398421	1	TSPY3	protein_coding
11742	chrY	9398467	1	TSPY3	protein_coding
11754	chr20	2508915	-1	ZNF343	protein_coding
11755	chr20	2524702	-1	ZNF343	protein_coding
11757	chr20	2508901	-1	ZNF343	protein_coding
11758	chr20	2509132	-1	ZNF343	protein_coding
11759	chr20	2524522	-1	ZNF343	protein_coding
11787	chrY	21918032	-1	RBMY1E	protein_coding
11846	chr20	23491101	1	CST8	protein_coding
11847	chr20	23491117	1	CST8	protein_coding
11848	chr20	13221274	1	ISM1	protein_coding
11849	chrY	14522573	1	NLGN4Y	protein_coding
11851	chrY	14522752	1	NLGN4Y	protein_coding
11852	chrY	14523746	1	NLGN4Y	protein_coding
11854	chrY	14523967	1	NLGN4Y	protein_coding
11856	chrY	14524529	1	NLGN4Y	protein_coding
11857	chrY	14524574	1	NLGN4Y	protein_coding
11858	chrY	14622181	1	NLGN4Y	protein_coding
11859	chr20	23879748	-1	CST5	protein_coding
11897	chr20	18567453	1		protein_coding
11901	chr20	24469629	1	SYNDIG1	protein_coding
11905	chr20	7940458	-1	HAO1	protein_coding
11947	chr20	21303331	1	XRN2	protein_coding
12021	chrY	14056227	1	VCY1B	protein_coding
12027	chr14	26597486	-1	NOVA1	protein_coding
12028	chr14	26598033	-1	NOVA1	protein_coding
12029	chr14	26596075	-1	NOVA1	protein_coding
12030	chr14	26595499	-1	NOVA1	protein_coding
12032	chr14	26595626	-1	NOVA1	protein_coding
12033	chr14	26597082	-1	NOVA1	protein_coding
12034	chr14	26597440	-1	NOVA1	protein_coding
12035	chr14	26597495	-1	NOVA1	protein_coding
12036	chr14	26597460	-1	NOVA1	protein_coding
12057	chr22	39570753	1	CACNA1I	protein_coding
12061	chrY	20756108	1	RPS4Y2	protein_coding
12156	chr20	2207328	1		protein_coding
12194	chrY	5000226	1	PCDH11Y	protein_coding
12195	chrY	5000296	1	PCDH11Y	protein_coding
12197	chrY	5000400	1	PCDH11Y	protein_coding
12198	chrY	5056088	1	PCDH11Y	protein_coding
12199	chrY	5056090	1	PCDH11Y	protein_coding
12201	chr20	16729961	1	SNRPB2	protein_coding
12202	chr20	16730026	1	SNRPB2	protein_coding
12241	chr18	9136228	1	ANKRD12	protein_coding
12242	chr18	9136781	1	ANKRD12	protein_coding
12243	chr18	9136796	1	ANKRD12	protein_coding
12246	chr18	9137563	1	ANKRD12	protein_coding
12248	chr18	9182386	1	ANKRD12	protein_coding
12298	chrY	24047969	-1	CDY1B	protein_coding
12299	chrY	24048019	-1	CDY1B	protein_coding
12334	chr20	24949269	1	CST7	protein_coding
12364	chrY	24607560	1	BPY2B	protein_coding
12365	chrY	24618004	1	BPY2B	protein_coding
12367	chrY	24626085	1	BPY2B	protein_coding
12368	chr14	31489956	1	NUBPL	protein_coding
12370	chr14	31561385	1	NUBPL	protein_coding
12371	chr14	31561404	1	NUBPL	protein_coding
12377	chr14	31561624	1	NUBPL	protein_coding
12400	chr20	24992642	-1	APMAP	protein_coding
12401	chr20	24992751	-1	APMAP	protein_coding
12465	chrY	25622162	1	CDY1	protein_coding
12466	chrY	25622117	1	CDY1	protein_coding
12476	chr18	46173553	1	C18orf25	protein_coding
12478	chr18	46174034	1	C18orf25	protein_coding
12479	chr18	46174086	1	C18orf25	protein_coding
12481	chrY	9337464	1	TSPY4	protein_coding
12482	chrY	9337510	1	TSPY4	protein_coding
12485	chr20	17531379	-1	BFSP1	protein_coding
12486	chr20	17558960	-1	BFSP1	protein_coding
12487	chr20	17558838	-1	BFSP1	protein_coding
12507	chr14	34630109	-1	SNX6	protein_coding
12508	chr14	34630148	-1	SNX6	protein_coding
12513	chr14	34630158	-1	SNX6	protein_coding
12516	chr14	34629672	-1	SNX6	protein_coding
12517	chr14	34630160	-1	SNX6	protein_coding
12544	chrY	22403410	1	RBMY1J	protein_coding
12549	chr18	50375046	1	SKA1	protein_coding
12550	chr18	50375040	1	SKA1	protein_coding
12551	chr18	50375043	1	SKA1	protein_coding
12552	chr18	50375061	1	SKA1	protein_coding
12575	chr20	23986795	-1	GGTLC1	protein_coding
12576	chr20	23986875	-1	GGTLC1	protein_coding
12577	chr20	23988779	-1	GGTLC1	protein_coding
12629	chrY	9487267	1	TSPY9	protein_coding
12644	chr18	36067530	-1	RPRD1A	protein_coding
12645	chr18	36067559	-1	RPRD1A	protein_coding
12646	chr18	36067556	-1	RPRD1A	protein_coding
12647	chr18	36030850	-1	RPRD1A	protein_coding
12652	chrY	21511338	1	RBMY1B	protein_coding
12667	chr20	23826729	-1	CST2	protein_coding
12679	chr22	40044817	1	TNRC6B	protein_coding
12680	chr22	40045474	1	TNRC6B	protein_coding
12682	chr22	40177942	1	TNRC6B	protein_coding
12683	chr22	40265003	1	TNRC6B	protein_coding
12686	chr22	40177925	1	TNRC6B	protein_coding
12714	chr20	17570075	1	DSTN	protein_coding
12715	chr20	17570082	1	DSTN	protein_coding
12756	chr14	52552505	-1	TXNDC16	protein_coding
12775	chrY	21534879	1	RBMY1A1	protein_coding
12781	chr20	2101827	1	STK35	protein_coding
12838	chr18	43115685	-1	RIT2	protein_coding
12839	chr18	43115691	-1	RIT2	protein_coding
12840	chr18	43115649	-1	RIT2	protein_coding
12852	chr20	675802	-1	SCRT2	protein_coding
12858	chr8	12318316	-1	DEFB130A	protein_coding
12880	chr20	34749582	-1	NCOA6	protein_coding
12881	chr20	34821639	-1	NCOA6	protein_coding
12882	chr20	34825651	-1	NCOA6	protein_coding
12884	chr20	34825630	-1	NCOA6	protein_coding
12919	chr8	8701937	1	CLDN23	protein_coding
12938	chr8	6938306	-1	DEFA4	protein_coding
12985	chr18	22414867	-1	CTAGE1	protein_coding
12986	chr18	22417915	-1	CTAGE1	protein_coding
13004	chr8	9150658	-1	PPP1R3B	protein_coding
13005	chr8	9151574	-1	PPP1R3B	protein_coding
13044	chr18	24460637	1	HRH4	protein_coding
13045	chr18	24460729	1	HRH4	protein_coding
13054	chr22	35066158	1	ISX	protein_coding
13055	chr22	35066136	1	ISX	protein_coding
13065	chr21	18403785	-1	TMPRSS15	protein_coding
13066	chr21	18485879	-1	TMPRSS15	protein_coding
13067	chr21	18460731	-1	TMPRSS15	protein_coding
13090	chr8	9555914	1	TNKS	protein_coding
13091	chr8	9555912	1	TNKS	protein_coding
13092	chr8	9555932	1	TNKS	protein_coding
13094	chr8	9575007	1	TNKS	protein_coding
13102	chr8	9770131	1	TNKS	protein_coding
13117	chr14	52267698	1	PTGDR	protein_coding
13118	chr14	52267812	1	PTGDR	protein_coding
13127	chr18	22798261	1	RBBP8	protein_coding
13128	chr18	22914121	1	RBBP8	protein_coding
13129	chr18	22914123	1	RBBP8	protein_coding
13130	chr18	22914139	1	RBBP8	protein_coding
13131	chr18	22933328	1	RBBP8	protein_coding
13132	chr18	22933826	1	RBBP8	protein_coding
13133	chr18	22933841	1	RBBP8	protein_coding
13134	chr18	22933876	1	RBBP8	protein_coding
13136	chr18	22934750	1	RBBP8	protein_coding
13138	chr18	22968842	1	RBBP8	protein_coding
13140	chr18	22993484	1	RBBP8	protein_coding
13141	chr18	23016796	1	RBBP8	protein_coding
13142	chr22	43143398	-1	MCAT	protein_coding
13143	chr22	43143364	-1	MCAT	protein_coding
13144	chr22	43142964	-1	MCAT	protein_coding
13194	chr14	44507283	-1	FSCB	protein_coding
13213	chr14	52951035	-1	FERMT2	protein_coding
13214	chr14	52951050	-1	FERMT2	protein_coding
13216	chr14	52919339	-1	FERMT2	protein_coding
13218	chr14	52893333	-1	FERMT2	protein_coding
13219	chr14	52950568	-1	FERMT2	protein_coding
13220	chr14	52864521	-1	FERMT2	protein_coding
13221	chr14	52951018	-1	FERMT2	protein_coding
13223	chr14	52928420	-1	FERMT2	protein_coding
13224	chr14	52928399	-1	FERMT2	protein_coding
13225	chr14	52952435	-1	FERMT2	protein_coding
13227	chr14	52950992	-1	FERMT2	protein_coding
13228	chr22	32043261	1	SLC5A1	protein_coding
13231	chr22	32059170	1	SLC5A1	protein_coding
13382	chr22	39893760	-1	ENTHD1	protein_coding
13385	chr20	157454	1	DEFB127	protein_coding
13387	chr21	17513043	1	CXADR	protein_coding
13388	chr21	17513046	1	CXADR	protein_coding
13389	chr21	17513130	1	CXADR	protein_coding
13400	chr22	30246759	-1	LIF	protein_coding
13401	chr22	30246739	-1	LIF	protein_coding
13407	chr20	13008987	1	SPTLC3	protein_coding
13408	chr20	13008972	1	SPTLC3	protein_coding
13409	chr20	13009349	1	SPTLC3	protein_coding
13410	chr20	13126646	1	SPTLC3	protein_coding
13425	chr22	31754899	1		protein_coding
13431	chr22	39152680	-1	CBX7	protein_coding
13432	chr22	39152444	-1	CBX7	protein_coding
13434	chr22	39152552	-1	CBX7	protein_coding
13505	chr20	34874942	1	ACSS2	protein_coding
13509	chr20	34876612	1	ACSS2	protein_coding
13510	chr20	34876572	1	ACSS2	protein_coding
13512	chr20	34876590	1	ACSS2	protein_coding
13516	chr20	34876614	1	ACSS2	protein_coding
13525	chr22	43923805	1	PNPLA3	protein_coding
13527	chr22	43923803	1	PNPLA3	protein_coding
13566	chr8	12755526	-1	LONRF1	protein_coding
13569	chr8	12729387	-1	LONRF1	protein_coding
13570	chr8	12754342	-1	LONRF1	protein_coding
13571	chr8	12737095	-1	LONRF1	protein_coding
13618	chr22	43812190	-1	EFCAB6	protein_coding
13619	chr22	43812305	-1	EFCAB6	protein_coding
13627	chr21	29019349	-1	RWDD2B	protein_coding
13661	chr18	23992773	1	TTC39C	protein_coding
13662	chr18	24014420	1	TTC39C	protein_coding
13663	chr18	24014754	1	TTC39C	protein_coding
13665	chr18	24016634	1	TTC39C	protein_coding
13666	chr18	24113353	1	TTC39C	protein_coding
13667	chr18	24114273	1	TTC39C	protein_coding
13685	chr14	31457506	-1	DTD2	protein_coding
13687	chr14	31457425	-1	DTD2	protein_coding
13689	chr14	52707200	1	PSMC6	protein_coding
13697	chr14	52707219	1	PSMC6	protein_coding
13698	chr14	52707222	1	PSMC6	protein_coding
13706	chr14	52707178	1	PSMC6	protein_coding
13746	chr8	10054292	1	MSRA	protein_coding
13747	chr8	10054370	1	MSRA	protein_coding
13748	chr8	10054501	1	MSRA	protein_coding
13749	chr8	10058970	1	MSRA	protein_coding
13750	chr8	10095551	1	MSRA	protein_coding
13751	chr8	10095552	1	MSRA	protein_coding
13753	chr8	10095727	1	MSRA	protein_coding
13754	chr8	10301535	1	MSRA	protein_coding
13764	chr21	29077475	1	MAP3K7CL	protein_coding
13766	chr21	29077633	1	MAP3K7CL	protein_coding
13767	chr21	29080552	1	MAP3K7CL	protein_coding
13768	chr21	29092254	1	MAP3K7CL	protein_coding
13770	chr21	29130638	1	MAP3K7CL	protein_coding
13771	chr21	29130644	1	MAP3K7CL	protein_coding
13772	chr21	29130961	1	MAP3K7CL	protein_coding
13773	chr21	29131257	1	MAP3K7CL	protein_coding
13775	chr21	29085861	1	MAP3K7CL	protein_coding
13776	chr21	29109132	1	MAP3K7CL	protein_coding
13811	chr18	52340197	1	DCC	protein_coding
13812	chr18	52752060	1	DCC	protein_coding
13814	chr18	52752161	1	DCC	protein_coding
13822	chr18	52934772	1	DCC	protein_coding
13823	chr18	52934803	1	DCC	protein_coding
13825	chr18	53391784	1	DCC	protein_coding
13828	chr18	52752032	1	DCC	protein_coding
13851	chr22	46762650	1	TBC1D22A	protein_coding
13854	chr22	46762672	1	TBC1D22A	protein_coding
13855	chr22	46762681	1	TBC1D22A	protein_coding
13860	chr22	46773927	1	TBC1D22A	protein_coding
13861	chr22	46762617	1	TBC1D22A	protein_coding
13916	chr8	22927914	-1	PEBP4	protein_coding
13918	chr8	23000000	-1	PEBP4	protein_coding
13937	chr18	50560087	1	MAPK4	protein_coding
13938	chr18	50560133	1	MAPK4	protein_coding
13939	chr18	50560142	1	MAPK4	protein_coding
13940	chr18	50560642	1	MAPK4	protein_coding
13954	chr8	10525532	1	PRSS55	protein_coding
13955	chr8	10525546	1	PRSS55	protein_coding
13981	chr8	6835524	-1	XKR5	protein_coding
13985	chr14	52552836	1	GPR137C	protein_coding
13986	chr14	52553288	1	GPR137C	protein_coding
13987	chr14	52553419	1	GPR137C	protein_coding
13997	chr18	46326809	1	RNF165	protein_coding
13998	chr18	46333968	1	RNF165	protein_coding
13999	chr18	46334028	1	RNF165	protein_coding
14000	chr18	46334224	1	RNF165	protein_coding
14002	chr18	46334018	1	RNF165	protein_coding
14028	chr14	60091911	1	PCNX4	protein_coding
14029	chr14	60091919	1	PCNX4	protein_coding
14030	chr14	60091923	1	PCNX4	protein_coding
14031	chr14	60091927	1	PCNX4	protein_coding
14036	chr14	60115982	1	PCNX4	protein_coding
14044	chr8	10517954	-1	PRSS51	protein_coding
14045	chr8	10518015	-1	PRSS51	protein_coding
14046	chr8	10547557	-1	PRSS51	protein_coding
14047	chr8	10517983	-1	PRSS51	protein_coding
14053	chr8	8386439	-1	PRAG1	protein_coding
14054	chr8	8381747	-1	PRAG1	protein_coding
14064	chr18	50825384	-1	MRO	protein_coding
14066	chr18	50825402	-1	MRO	protein_coding
14067	chr18	50820064	-1	MRO	protein_coding
14068	chr18	50825380	-1	MRO	protein_coding
14069	chr18	50820016	-1	MRO	protein_coding
14070	chr18	50819836	-1	MRO	protein_coding
14107	chr8	21788875	-1	GFRA2	protein_coding
14109	chr8	21812357	-1	GFRA2	protein_coding
14110	chr8	21788323	-1	GFRA2	protein_coding
14111	chr8	21788159	-1	GFRA2	protein_coding
14112	chr8	21789253	-1	GFRA2	protein_coding
14113	chr8	21788784	-1	GFRA2	protein_coding
14171	chr21	32393012	-1	URB1	protein_coding
14225	chr14	60649477	-1	SIX1	protein_coding
14226	chr14	60658259	-1	SIX1	protein_coding
14266	chr14	63543377	-1	PPP2R5E	protein_coding
14267	chr14	63543298	-1	PPP2R5E	protein_coding
14272	chr14	63508238	-1	PPP2R5E	protein_coding
14294	chr20	31257664	1	DEFB115	protein_coding
