	Chromosome	Start	Strand	Gene	Transcript_type
3874	chr13	96490733	1	Gm17622	protein_coding
3878	chr17	81441763	1	Gm11096	protein_coding
3891	chr16	15317458	1	Gm21897	protein_coding
3915	chr2	131133497	1	Gm11037	protein_coding
3916	chr7	141029131	1	Gm17387	protein_coding
3935	chrY	25309360	-1	Gm21773	protein_coding
3973	chr19	61297069	-1	Gm21060	protein_coding
4012	chr9	3025417	1	Gm10717	protein_coding
4013	chr9	3026151	1	Gm10717	protein_coding
4014	chr9	3027523	1	Gm10717	protein_coding
4015	chr9	3029195	1	Gm10717	protein_coding
4016	chr9	3030337	1	Gm10717	protein_coding
4017	chr9	3030568	1	Gm10717	protein_coding
4018	chr9	3032085	1	Gm10717	protein_coding
4098	chr3	67375163	-1	Gm17402	protein_coding
4118	chrY	76378662	1	Gm21776	protein_coding
4139	chr17	57742219	-1	Gm21834	protein_coding
4149	chr9	85312773	1	Gm11114	protein_coding
4157	chrX	7909542	1	Gm10490	protein_coding
4164	chr3	107631322	1	Gm10961	protein_coding
4171	chr7	30321740	1	E130208F15Rik	protein_coding
4200	chr18	34840589	1	Reep2	protein_coding
4215	chr2	104068550	-1	Gm10799	protein_coding
4225	chr19	53371766	-1	Gm10197	protein_coding
4232	chr6	95322112	1	Gm10234	protein_coding
4241	chr15	102503722	1	Gm10337	protein_coding
4249	chr9	13446753	-1	Gm17571	protein_coding
4260	chr11	6200029	1	A730071L15Rik	protein_coding
4282	chr3	122919360	-1	Gm10959	protein_coding
4283	chr19	46328184	1	Fbxl15	protein_coding
4284	chr19	46328187	1	Fbxl15	protein_coding
4290	chrY	74623896	1	Gm21913	protein_coding
4319	chr15	99705490	-1	Gm17349	protein_coding
4348	chr6	115227343	1	Gm17482	protein_coding
4375	chr9	3034599	1	Gm17535	protein_coding
4397	chr17	21691860	1	Gm10226	protein_coding
4741	chr17	86505232	-1	Gm10309	protein_coding
4785	chr10	79910856	1	Gm26602	protein_coding
4817	chr4	88721805	1	Gm26566	protein_coding
4993	chr8	72213636	-1	Gm11034	protein_coding
5001	chr1	171895664	1	Gm10521	protein_coding
5059	chr2	150179679	-1	Gm10770	protein_coding
5080	chr9	3023547	1	Gm10718	protein_coding
5111	chrY	13133492	-1	Gm21891	protein_coding
5155	chr13	23099071	1	Vmn1r216	protein_coding
5197	chrY	17846266	-1	Gm21904	protein_coding
5215	chr11	62753100	1	Gm10428	protein_coding
5234	chr13	65512678	1	Gm10139	protein_coding
5309	chr6	149130170	1	Gm10203	protein_coding
5324	chr3	54714353	-1	Gm21958	protein_coding
5331	chrY	24796243	-1	Gm21921	protein_coding
5336	chr1	85575676	1	G530012D18Rik	protein_coding
5349	chr8	84065137	-1	Gm10643	protein_coding
5358	chr1	133321875	1	Kiss1	protein_coding
5359	chr1	133327212	1	Kiss1	protein_coding
5361	chr17	80373541	-1	Gm10190	protein_coding
5389	chr8	12278819	1	A230072I06Rik	protein_coding
5416	chr17	39043341	-1	Gm21903	protein_coding
5429	chrY	18061812	-1	Gm21764	protein_coding
5824	chr5	72974702	-1	Gm10135	protein_coding
5847	chr3	55472210	-1	Gm21954	protein_coding
5859	chr9	3017408	1	Gm10719	protein_coding
5860	chr9	3018753	1	Gm10719	protein_coding
5861	chr9	3020155	1	Gm10719	protein_coding
5877	chr16	10812915	1	Gm11172	protein_coding
5923	chr9	124493793	-1	Gm21836	protein_coding
5928	chr2	98667301	-1	Gm10800	protein_coding
5938	chr1	173766919	-1	Ifi204	protein_coding
5942	chr9	21723483	1	Ldlr	protein_coding
5944	chr9	21723632	1	Ldlr	protein_coding
5954	chr9	46268633	1	Apoa5	protein_coding
5955	chr9	46269078	1	Apoa5	protein_coding
5957	chr1	127855031	-1	Map3k19	protein_coding
5958	chr1	127840320	-1	Map3k19	protein_coding
5959	chr1	127840321	-1	Map3k19	protein_coding
5960	chr1	127840290	-1	Map3k19	protein_coding
5962	chr15	79346621	1	Maff	protein_coding
5963	chr15	79347520	1	Maff	protein_coding
5964	chr15	79348064	1	Maff	protein_coding
5965	chr15	79348402	1	Maff	protein_coding
5977	chr8	27202547	-1	Got1l1	protein_coding
5981	chr8	27223828	-1	Got1l1	protein_coding
5983	chr10	96136603	1	Gm5426	protein_coding
5988	chr1	176755333	-1	Cep170	protein_coding
5989	chr1	176814067	-1	Cep170	protein_coding
5990	chr1	176793609	-1	Cep170	protein_coding
5992	chr1	176756516	-1	Cep170	protein_coding
5994	chr1	176750160	-1	Cep170	protein_coding
5998	chr1	176782300	-1	Cep170	protein_coding
6000	chr1	176807124	-1	Cep170	protein_coding
6002	chr19	21778358	1	Cemip2	protein_coding
6003	chr19	21778368	1	Cemip2	protein_coding
6005	chr19	21778342	1	Cemip2	protein_coding
6011	chrX	102119447	1	Pin4	protein_coding
6013	chr2	172472520	1	Fam209	protein_coding
6015	chr11	97663414	1	Mllt6	protein_coding
6017	chr11	97663572	1	Mllt6	protein_coding
6020	chr13	74770736	-1	Cast	protein_coding
6021	chr13	74808810	-1	Cast	protein_coding
6022	chr13	74770649	-1	Cast	protein_coding
6023	chr13	74770590	-1	Cast	protein_coding
6024	chr13	74807939	-1	Cast	protein_coding
6025	chr13	74734261	-1	Cast	protein_coding
6026	chr13	74734231	-1	Cast	protein_coding
6029	chr13	74808521	-1	Cast	protein_coding
6034	chr17	53479234	1	Rab5a	protein_coding
6043	chr5	147726011	-1	Flt1	protein_coding
6046	chr5	147725988	-1	Flt1	protein_coding
6049	chr11	94936224	1	Col1a1	protein_coding
6056	chrX	109013404	-1	Hmgn5	protein_coding
6060	chrX	102157091	-1	Ercc6l	protein_coding
6061	chr14	63992506	1	Rp1l1	protein_coding
6063	chr1	171225054	1	Apoa2	protein_coding
6064	chr1	171225082	1	Apoa2	protein_coding
6065	chr1	171225084	1	Apoa2	protein_coding
6066	chr1	171225091	1	Apoa2	protein_coding
6068	chr7	85961629	-1	Vmn2r74	protein_coding
6069	chr14	47418407	-1	Dlgap5	protein_coding
6070	chr14	47394253	-1	Dlgap5	protein_coding
6071	chr14	47418177	-1	Dlgap5	protein_coding
6074	chr14	47411666	-1	Dlgap5	protein_coding
6080	chr17	53539451	-1	Pp2d1	protein_coding
6084	chr17	28486149	-1	Fkbp5	protein_coding
6085	chr17	28517524	-1	Fkbp5	protein_coding
6086	chr17	28511357	-1	Fkbp5	protein_coding
6087	chr17	28486093	-1	Fkbp5	protein_coding
6092	chr17	28441722	-1	Fkbp5	protein_coding
6094	chr17	28441714	-1	Fkbp5	protein_coding
6105	chrX	102189394	-1	Rps4x	protein_coding
6110	chr16	92301286	1	Smim11	protein_coding
6111	chr16	92301296	1	Smim11	protein_coding
6114	chr5	113800516	-1	Tmem119	protein_coding
6115	chr5	113800446	-1	Tmem119	protein_coding
6123	chr3	129755316	-1	Egf	protein_coding
6124	chr3	129725087	-1	Egf	protein_coding
6125	chr3	129725077	-1	Egf	protein_coding
6134	chr3	116007406	-1	Slc30a7	protein_coding
6139	chr3	135825279	1	Slc39a8	protein_coding
6141	chr3	135826090	1	Slc39a8	protein_coding
6143	chr3	135825790	1	Slc39a8	protein_coding
6144	chr3	135825657	1	Slc39a8	protein_coding
6145	chrX	109095365	1	Sh3bgrl	protein_coding
6151	chr3	107631694	-1	Strip1	protein_coding
6155	chr12	98578310	-1	Kcnk10	protein_coding
6156	chr12	98575127	-1	Kcnk10	protein_coding
6157	chr12	98574712	-1	Kcnk10	protein_coding
6159	chr6	123853463	-1	Vmn2r25	protein_coding
6161	chr17	27655509	1	Pacsin1	protein_coding
6162	chr17	27655548	1	Pacsin1	protein_coding
6163	chr17	27655588	1	Pacsin1	protein_coding
6164	chr17	27685181	1	Pacsin1	protein_coding
6165	chr17	27685197	1	Pacsin1	protein_coding
6167	chr17	27685239	1	Pacsin1	protein_coding
6169	chr17	27705649	1	Pacsin1	protein_coding
6172	chrX	109196758	1	Gm6377	protein_coding
6173	chrX	109196756	1	Gm6377	protein_coding
6175	chr14	54426909	1	Mrpl52	protein_coding
6179	chr14	54426930	1	Mrpl52	protein_coding
6181	chr14	54427051	1	Mrpl52	protein_coding
6182	chr6	123778879	1	Vmn2r24	protein_coding
6185	chr1	135585705	-1	Nav1	protein_coding
6186	chr1	135688105	-1	Nav1	protein_coding
6188	chr1	135467673	-1	Nav1	protein_coding
6193	chr1	135585355	-1	Nav1	protein_coding
6197	chr10	80406830	-1	Uqcr11	protein_coding
6199	chr15	77411034	-1	Apol9a	protein_coding
6200	chr15	77411135	-1	Apol9a	protein_coding
6201	chr15	77406565	-1	Apol9a	protein_coding
6203	chr14	70627308	-1	Dmtn	protein_coding
6204	chr14	70627054	-1	Dmtn	protein_coding
6205	chr14	70635978	-1	Dmtn	protein_coding
6206	chr14	70618545	-1	Dmtn	protein_coding
6207	chr14	70630154	-1	Dmtn	protein_coding
6208	chr14	70628999	-1	Dmtn	protein_coding
6211	chr14	70626155	-1	Dmtn	protein_coding
6212	chr14	70636048	-1	Dmtn	protein_coding
6213	chr15	79891659	1	Apobec3	protein_coding
6214	chr15	79891694	1	Apobec3	protein_coding
6216	chr15	79892403	1	Apobec3	protein_coding
6219	chr15	79892448	1	Apobec3	protein_coding
6221	chr15	79892449	1	Apobec3	protein_coding
6223	chr15	79895023	1	Apobec3	protein_coding
6224	chr15	79895261	1	Apobec3	protein_coding
6227	chr15	79900164	1	Apobec3	protein_coding
6229	chr15	79900342	1	Apobec3	protein_coding
6231	chr15	79892408	1	Apobec3	protein_coding
6232	chr10	115384435	-1	Thap2	protein_coding
6233	chr10	115384410	-1	Thap2	protein_coding
6234	chr10	115384443	-1	Thap2	protein_coding
6235	chr1	171234365	-1	Fcer1g	protein_coding
6236	chr1	171234307	-1	Fcer1g	protein_coding
6238	chr2	35622160	1	Dab2ip	protein_coding
6239	chr2	35710327	1	Dab2ip	protein_coding
6241	chr2	35696732	1	Dab2ip	protein_coding
6242	chr2	35581060	1	Dab2ip	protein_coding
6243	chr2	35558266	1	Dab2ip	protein_coding
6244	chr2	35691994	1	Dab2ip	protein_coding
6246	chr2	35622037	1	Dab2ip	protein_coding
6249	chr2	35582840	1	Dab2ip	protein_coding
6250	chr2	35692333	1	Dab2ip	protein_coding
6252	chr8	85432833	-1	4921524J17Rik	protein_coding
6263	chr2	155729475	-1	Edem2	protein_coding
6268	chr2	103485160	-1	Cat	protein_coding
6269	chr2	103485125	-1	Cat	protein_coding
6276	chr6	49395604	1	Stk31	protein_coding
6277	chr6	49395635	1	Stk31	protein_coding
6278	chr6	49438564	1	Stk31	protein_coding
6279	chr15	79516411	1	Kdelr3	protein_coding
6280	chr5	113819566	-1	Selplg	protein_coding
6281	chr5	113830501	-1	Selplg	protein_coding
6282	chr5	113819257	-1	Selplg	protein_coding
6283	chr5	113819317	-1	Selplg	protein_coding
6284	chr5	113832644	-1	Selplg	protein_coding
6287	chr7	49778346	1	Prmt3	protein_coding
6295	chr4	110351909	-1	Elavl4	protein_coding
6296	chr4	110287527	-1	Elavl4	protein_coding
6297	chr4	110286889	-1	Elavl4	protein_coding
6298	chr4	110290272	-1	Elavl4	protein_coding
6299	chr4	110292722	-1	Elavl4	protein_coding
6300	chr4	110290893	-1	Elavl4	protein_coding
6303	chr4	110286616	-1	Elavl4	protein_coding
6308	chr11	115419917	-1	Atp5h	protein_coding
6309	chr11	115419962	-1	Atp5h	protein_coding
6310	chr11	115418741	-1	Atp5h	protein_coding
6312	chr11	115418507	-1	Atp5h	protein_coding
6321	chr1	191036639	1	Spata45	protein_coding
6322	chr1	191036819	1	Spata45	protein_coding
6324	chrX	60592698	-1	Atp11c	protein_coding
6327	chrX	60403981	-1	Atp11c	protein_coding
6328	chr1	57377620	1	1700066M21Rik	protein_coding
6331	chrX	123346764	1	Gm2411	protein_coding
6334	chrX	99471273	-1	Pja1	protein_coding
6335	chrX	99470692	-1	Pja1	protein_coding
6336	chrX	99470672	-1	Pja1	protein_coding
6337	chrX	99470687	-1	Pja1	protein_coding
6338	chrX	99470735	-1	Pja1	protein_coding
6345	chr3	118562129	1	Dpyd	protein_coding
6348	chr3	118562180	1	Dpyd	protein_coding
6355	chrX	123576286	1	Cldn34c2	protein_coding
6356	chrX	123581700	1	Cldn34c2	protein_coding
6358	chr14	64085451	-1	Prss55	protein_coding
6359	chr14	64085408	-1	Prss55	protein_coding
6363	chr7	86171778	-1	Vmn2r75	protein_coding
6365	chr15	76477435	1	Hsf1	protein_coding
6366	chr15	76477445	1	Hsf1	protein_coding
6370	chr15	76477574	1	Hsf1	protein_coding
6373	chr15	76498236	1	Hsf1	protein_coding
6376	chr15	76499966	1	Hsf1	protein_coding
6380	chr1	173875860	-1	Mndal	protein_coding
6381	chr1	173880305	-1	Mndal	protein_coding
6384	chr1	173880111	-1	Mndal	protein_coding
6389	chr12	118301370	-1	Sp4	protein_coding
6390	chr12	118301368	-1	Sp4	protein_coding
6391	chr12	118301440	-1	Sp4	protein_coding
6394	chr3	153844209	1	Asb17	protein_coding
6397	chr13	96670936	-1	Hmgcr	protein_coding
6399	chr13	96652803	-1	Hmgcr	protein_coding
6400	chr13	96666710	-1	Hmgcr	protein_coding
6401	chr13	96656667	-1	Hmgcr	protein_coding
6403	chr13	96670823	-1	Hmgcr	protein_coding
6405	chr13	96669654	-1	Hmgcr	protein_coding
6406	chr13	96670482	-1	Hmgcr	protein_coding
6408	chr14	64086234	1	Prss51	protein_coding
6409	chr14	64093685	1	Prss51	protein_coding
6410	chr14	64093696	1	Prss51	protein_coding
6411	chr14	64093726	1	Prss51	protein_coding
6414	chr3	137981545	-1	Dapp1	protein_coding
6415	chr3	137981536	-1	Dapp1	protein_coding
6422	chr3	79336661	1	Gm17359	protein_coding
6423	chr3	79345376	1	Gm17359	protein_coding
6424	chr3	79345379	1	Gm17359	protein_coding
6432	chr3	79567796	-1	Fnip2	protein_coding
6434	chr3	79567682	-1	Fnip2	protein_coding
6436	chr3	79531876	-1	Fnip2	protein_coding
6440	chr1	65282056	1	Pth2r	protein_coding
6441	chr1	65311257	1	Pth2r	protein_coding
6442	chr17	12584132	1	Slc22a2	protein_coding
6443	chr17	12584193	1	Slc22a2	protein_coding
6445	chr2	174415804	1	Nelfcd	protein_coding
6446	chr2	174415851	1	Nelfcd	protein_coding
6451	chr2	127854628	1	Acoxl	protein_coding
6453	chr2	127909058	1	Acoxl	protein_coding
6457	chr17	53566971	1	Kat2b	protein_coding
6458	chr17	53584126	1	Kat2b	protein_coding
6459	chr17	53644697	1	Kat2b	protein_coding
6463	chrX	48341358	1	Bcorl1	protein_coding
6465	chrX	48343770	1	Bcorl1	protein_coding
6467	chrX	48361620	1	Bcorl1	protein_coding
6468	chrX	48369268	1	Bcorl1	protein_coding
6469	chr8	70892757	-1	Slc5a5	protein_coding
6472	chr5	108750955	-1	Rnf212	protein_coding
6473	chr5	108774982	-1	Rnf212	protein_coding
6474	chr5	108750918	-1	Rnf212	protein_coding
6475	chr5	108774953	-1	Rnf212	protein_coding
6476	chr5	108749448	-1	Rnf212	protein_coding
6477	chr3	136326046	-1	Bank1	protein_coding
6478	chr3	136326066	-1	Bank1	protein_coding
6479	chr3	136326025	-1	Bank1	protein_coding
6483	chr7	123214780	1	Slc5a11	protein_coding
6485	chr7	123214813	1	Slc5a11	protein_coding
6486	chr7	123228884	1	Slc5a11	protein_coding
6487	chr7	123240323	1	Slc5a11	protein_coding
6489	chr7	123235620	1	Slc5a11	protein_coding
6494	chr9	14771013	-1	1700012B09Rik	protein_coding
6495	chr9	14771030	-1	1700012B09Rik	protein_coding
6497	chr1	33907768	-1	Bend6	protein_coding
6498	chr1	33907791	-1	Bend6	protein_coding
6499	chr1	33907816	-1	Bend6	protein_coding
6503	chr15	79041885	1	Galr3	protein_coding
6504	chr15	77956722	-1	Foxred2	protein_coding
6506	chr15	77956675	-1	Foxred2	protein_coding
6509	chr15	79030874	1	Gcat	protein_coding
6510	chr15	79033498	1	Gcat	protein_coding
6514	chr12	118846329	1	Sp8	protein_coding
6515	chr12	118847586	1	Sp8	protein_coding
6516	chr11	75796049	-1	Doc2b	protein_coding
6518	chr18	84851338	1	Cyb5a	protein_coding
6522	chr18	84851879	1	Cyb5a	protein_coding
6526	chr5	129846986	1	Sumf2	protein_coding
6527	chr5	129847011	1	Sumf2	protein_coding
6531	chr10	81393051	1	Smim24	protein_coding
6532	chr10	81393627	1	Smim24	protein_coding
6534	chrX	99821021	1	Tmem28	protein_coding
6538	chr11	49543449	1	Olfr1381	protein_coding
6539	chr11	49551749	1	Olfr1381	protein_coding
6541	chr11	104550483	-1	Cdc27	protein_coding
6542	chr11	104550392	-1	Cdc27	protein_coding
6544	chr11	104550478	-1	Cdc27	protein_coding
6546	chr14	64950045	1	Ints9	protein_coding
6555	chr1	85485142	-1	AC147806.1	protein_coding
6556	chr11	49556878	1	Olfr1380	protein_coding
6557	chr11	49563923	1	Olfr1380	protein_coding
6563	chr17	12675829	-1	Slc22a1	protein_coding
6567	chr4	126162626	-1	Sh3d21	protein_coding
6569	chr4	126163491	-1	Sh3d21	protein_coding
6575	chr4	58009124	-1	Txndc8	protein_coding
6576	chr4	58000310	-1	Txndc8	protein_coding
6577	chr2	54436317	1	Galnt13	protein_coding
6578	chr2	54436387	1	Galnt13	protein_coding
6579	chr2	54436491	1	Galnt13	protein_coding
6580	chr2	54516540	1	Galnt13	protein_coding
6581	chrX	8132808	-1	Wdr13	protein_coding
6583	chrX	8132770	-1	Wdr13	protein_coding
6585	chrX	8132820	-1	Wdr13	protein_coding
6588	chrX	8132845	-1	Wdr13	protein_coding
6591	chr12	30132624	-1	Tpo	protein_coding
6593	chr12	30131899	-1	Tpo	protein_coding
6594	chr15	79030901	1	Gcat	protein_coding
6599	chr8	85492576	1	Gpt2	protein_coding
6605	chr7	139248482	1	Pwwp2b	protein_coding
6606	chr7	139248487	1	Pwwp2b	protein_coding
6608	chr5	120588673	-1	Tpcn1	protein_coding
6612	chr17	24473884	1	Bricd5	protein_coding
6613	chr17	24473901	1	Bricd5	protein_coding
6614	chr17	24473967	1	Bricd5	protein_coding
6615	chr2	174439039	-1	Ctsz	protein_coding
6616	chrX	60456195	-1	Gm7073	protein_coding
6617	chrX	60452477	-1	Gm7073	protein_coding
6618	chrX	60539249	-1	Gm7073	protein_coding
6619	chr14	59142893	-1	1700129C05Rik	protein_coding
6628	chr17	65613555	-1	Vapa	protein_coding
6629	chr17	65594970	-1	Vapa	protein_coding
6631	chr11	94507355	-1	Mycbpap	protein_coding
6632	chr11	94521556	-1	Mycbpap	protein_coding
6633	chr11	94521742	-1	Mycbpap	protein_coding
6637	chr2	155751117	1	Procr	protein_coding
6640	chr2	155751123	1	Procr	protein_coding
6648	chrX	4800496	1	Btbd35f4	protein_coding
6651	chr1	191717834	1	Lpgat1	protein_coding
6653	chr1	191718389	1	Lpgat1	protein_coding
6654	chr1	191718521	1	Lpgat1	protein_coding
6657	chr8	70897412	-1	Rpl18a	protein_coding
6658	chr8	70897396	-1	Rpl18a	protein_coding
6661	chr8	70897283	-1	Rpl18a	protein_coding
6663	chr8	70897399	-1	Rpl18a	protein_coding
6665	chr1	191062932	-1	Tatdn3	protein_coding
6666	chr1	191062904	-1	Tatdn3	protein_coding
6667	chr1	191062905	-1	Tatdn3	protein_coding
6672	chr12	111406809	1	Lbhd2	protein_coding
6673	chrX	124015997	1	Gm5945	protein_coding
6674	chr16	78576634	-1	D16Ertd472e	protein_coding
6675	chr16	78576657	-1	D16Ertd472e	protein_coding
6676	chr16	78576647	-1	D16Ertd472e	protein_coding
6677	chr16	78576708	-1	D16Ertd472e	protein_coding
6683	chr17	24479055	-1	Mlst8	protein_coding
6684	chr17	24479078	-1	Mlst8	protein_coding
6685	chr17	24479043	-1	Mlst8	protein_coding
6686	chr17	24479060	-1	Mlst8	protein_coding
6687	chr17	24479038	-1	Mlst8	protein_coding
6688	chr17	24478261	-1	Mlst8	protein_coding
6692	chr17	56303321	1	Uhrf1	protein_coding
6693	chr17	56303400	1	Uhrf1	protein_coding
6694	chr17	56304313	1	Uhrf1	protein_coding
6695	chr17	56304348	1	Uhrf1	protein_coding
6696	chr17	56304407	1	Uhrf1	protein_coding
6699	chr1	4409241	-1	Rp1	protein_coding
6701	chr1	4360314	-1	Rp1	protein_coding
6704	chr17	27728953	-1	Spdef	protein_coding
6707	chr17	27728955	-1	Spdef	protein_coding
6708	chr17	27728924	-1	Spdef	protein_coding
6709	chr17	27728889	-1	Spdef	protein_coding
6710	chr14	54431612	1	Mmp14	protein_coding
6712	chr14	54431633	1	Mmp14	protein_coding
6715	chr14	54432436	1	Mmp14	protein_coding
6719	chr9	20492746	-1	Zfp426	protein_coding
6720	chr9	20492742	-1	Zfp426	protein_coding
6723	chr9	20490805	-1	Zfp426	protein_coding
6724	chr9	20478254	-1	Zfp426	protein_coding
6725	chr9	20492701	-1	Zfp426	protein_coding
6726	chr9	20492711	-1	Zfp426	protein_coding
6727	chr9	20478157	-1	Zfp426	protein_coding
6728	chr5	34525838	1	Sh3bp2	protein_coding
6729	chr5	34525846	1	Sh3bp2	protein_coding
6732	chr5	34543365	1	Sh3bp2	protein_coding
6733	chr5	34549576	1	Sh3bp2	protein_coding
6735	chr5	34549688	1	Sh3bp2	protein_coding
6736	chr15	81400043	-1	St13	protein_coding
6737	chr15	81399594	-1	St13	protein_coding
6738	chr15	81399383	-1	St13	protein_coding
6740	chr15	81400077	-1	St13	protein_coding
6742	chr15	81400073	-1	St13	protein_coding
6744	chr6	124024568	1	Vmn2r26	protein_coding
6746	chr17	37302632	-1	Olfr101	protein_coding
6747	chr17	37304313	-1	Olfr101	protein_coding
6748	chr17	37300484	-1	Olfr101	protein_coding
6751	chrX	73774405	1	Srpk3	protein_coding
6759	chr11	120608477	1	Npb	protein_coding
6760	chr11	120608505	1	Npb	protein_coding
6767	chr5	92043041	-1	Cdkl2	protein_coding
6768	chr5	92043042	-1	Cdkl2	protein_coding
6769	chr5	92042696	-1	Cdkl2	protein_coding
6770	chr5	92042672	-1	Cdkl2	protein_coding
6772	chr5	92031085	-1	Cdkl2	protein_coding
6775	chr14	59178749	-1	Gm5142	protein_coding
6776	chr13	73604006	1	Clptm1l	protein_coding
6780	chr5	30461902	-1	Otof	protein_coding
6781	chr5	30461932	-1	Otof	protein_coding
6786	chr2	33640608	-1	Lmx1b	protein_coding
6787	chr2	33640480	-1	Lmx1b	protein_coding
6789	chr2	33640511	-1	Lmx1b	protein_coding
6791	chr8	107588464	-1	Psmd7	protein_coding
6793	chr5	129879083	-1	Phkg1	protein_coding
6794	chr5	129874105	-1	Phkg1	protein_coding
6795	chr5	129898549	-1	Phkg1	protein_coding
6802	chr17	37317054	-1	Olfr102	protein_coding
6803	chr17	37314437	-1	Olfr102	protein_coding
6808	chr1	180568929	1	Parp1	protein_coding
6809	chr1	180569226	1	Parp1	protein_coding
6814	chr1	180598988	1	Parp1	protein_coding
6817	chr15	79932652	-1	Cbx7	protein_coding
6818	chr15	79932639	-1	Cbx7	protein_coding
6820	chr15	79932540	-1	Cbx7	protein_coding
6821	chr15	79933899	-1	Cbx7	protein_coding
6822	chr15	79971119	-1	Cbx7	protein_coding
